"","Date","Temp.avg","Temp.min","Temp.max","Rainfall.mm","Radiation.MJ","SunlightHour"
"1",2019-05-01,14.5,16.8,13,0,8.72,8.5
"2",2019-05-02,16,19.5,12.8,0,24.9,11.1
"3",2019-05-03,16.4,23,11.6,0,27.85,12.7
"4",2019-05-04,14.4,19.7,7.8,0,28.62,11.9
"5",2019-05-05,20.2,29.4,7.6,0,25.91,12.3
"6",2019-05-06,16.5,25.9,7.2,11.5,10.19,6.8
"7",2019-05-07,11.3,17.2,6.5,0,29.7,13.2
"8",2019-05-08,14.8,21.6,6.7,0,27.75,12.4
"9",2019-05-09,17.4,23.8,9.7,0,22.72,11.5
"10",2019-05-10,16.6,24.2,11.4,0,24.02,13
"11",2019-05-11,16.2,21.6,10.4,0,28.99,12.3
"12",2019-05-12,15.1,19.9,7.9,0,24.09,12.7
"13",2019-05-13,16.5,21.5,8,0,26.32,12.1
"14",2019-05-14,19.8,23,16.7,0,10.83,6.3
"15",2019-05-15,17.9,22.4,12.5,0,26.06,12.1
"16",2019-05-16,20,25.7,12.4,0,23.58,11.6
"17",2019-05-17,21.6,28.2,17.9,0,23.81,11.7
"18",2019-05-18,21.2,25.7,14.4,0,9.76,6.5
"19",2019-05-19,22.8,28.5,19.4,0,24.99,12
"20",2019-05-20,21.5,25.4,17,18,9.35,9.5
"21",2019-05-21,17.7,22,12.6,2.5,27.15,12.3
"22",2019-05-22,17.4,24.2,11,0,29.71,13.4
"23",2019-05-23,19.5,29,12.6,0,27.11,13.2
"24",2019-05-24,19.9,28,14.5,0,28.09,13.3
"25",2019-05-25,21.8,29.9,12.8,0,26.51,12.7
"26",2019-05-26,23.5,31.7,16.2,0,23.7,12.8
"27",2019-05-27,23.5,31.5,16,3,15.95,10.4
"28",2019-05-28,18.5,23,14.1,4.5,3.93,2.6
"29",2019-05-29,17.8,23.5,12.3,0,30.2,13.4
"30",2019-05-30,20.2,28.1,13,0,26.94,12.8
"31",2019-05-31,18.4,22.4,14.9,5.5,4.69,3.7
"32",2019-06-01,18.7,23.7,13.6,0,26.53,12.6
"33",2019-06-02,21.6,28.1,16,0,14.11,8.1
"34",2019-06-03,21.6,26.5,17.4,0,28.24,13.1
"35",2019-06-04,24.3,29.7,20,0,26.3,11.5
"36",2019-06-05,23.1,28.2,16.8,0,25.43,11
"37",2019-06-06,22.1,26.5,15.5,0,24.26,11.4
"38",2019-06-07,22.2,27.7,17.7,26,9.84,5.3
"39",2019-06-08,18.6,20.9,15.7,1,5.39,4.6
"40",2019-06-09,19,22.2,16.1,0,21.92,11.3
"41",2019-06-10,18.9,22.3,16.2,3,10.9,7.9
"42",2019-06-11,18.6,21.3,16.5,0,8.21,6.2
"43",2019-06-12,18.7,23.5,14.9,0.5,20.2,10.8
"44",2019-06-13,19.8,23.9,14.5,0,30.33,13.4
"45",2019-06-14,23.9,29.6,20,0,15.27,11.2
"46",2019-06-15,18.6,20.7,16.3,61.5,4.24,4
"47",2019-06-16,18.9,21.6,17.4,2.5,9.2,8
"48",2019-06-17,19.1,22.4,15.6,0,25.65,13
"49",2019-06-18,20.3,25.8,15.6,0,18.71,12.4
"50",2019-06-19,21.2,26.6,16.6,0,22.46,12.1
"51",2019-06-20,21.7,26.3,17.9,0,26.83,11.5
"52",2019-06-21,23.3,30.5,20.2,11,12.74,7.1
"53",2019-06-22,20.8,24,18.8,1,9.48,4.3
"54",2019-06-23,19.4,22.1,17.7,0,8.42,6.4
"55",2019-06-24,20,23.7,16.5,0,22.32,11.1
"56",2019-06-25,20.5,24.6,15.7,0,30.19,13.3
"57",2019-06-26,25.2,32,17,1.5,21.48,10.8
"58",2019-06-27,25.3,28.8,22.9,7,6.21,4
"59",2019-06-28,23.3,26,21.6,3.5,19.89,8.9
"60",2019-06-29,22.5,24.3,21.1,24,4.33,1.6
"61",2019-06-30,23.6,26.6,21,10,8.04,5.3
"62",2019-07-01,23.8,27.5,21.4,0,19.46,10.9
"63",2019-07-02,23.5,26.5,21.1,0,15.46,9.9
"64",2019-07-03,23.7,27.5,20.3,0,9.61,8.6
"65",2019-07-04,22.7,26.2,19.5,0,19.06,8.1
"66",2019-07-05,22.2,25.6,17.1,0,20.4,11.2
"67",2019-07-06,22.5,26.1,20.2,0,15.51,7.9
"68",2019-07-07,22.5,26.4,20.1,0,20.64,10.9
"69",2019-07-08,21.9,25.9,19,21.5,17.76,10.6
"70",2019-07-09,23.4,28.1,20.5,1.5,16.41,9.3
"71",2019-07-10,25.3,29.2,22.3,1.5,18.88,8.9
"72",2019-07-11,24.2,29,21.6,24.5,14.29,6.9
"73",2019-07-12,23,27.4,20.9,0,14.61,8.2
"74",2019-07-13,22.5,25.4,20.6,4,8.63,7.9
"75",2019-07-14,21.7,23.7,20.1,4.5,6.39,3.2
"76",2019-07-15,22.4,25.9,18.7,0,26.81,12.1
"77",2019-07-16,23,26.3,18.9,0,26.11,12.4
"78",2019-07-17,24.1,27,20.4,0,25.72,11.8
"79",2019-07-18,23.7,26.3,21.9,43,3.57,2
"80",2019-07-19,25.3,28.3,22.3,4.5,6.54,7.3
"81",2019-07-20,26,28.4,24.4,4,3.94,5.9
"82",2019-07-21,27.8,30.2,24.1,3.5,6.35,7.2
"83",2019-07-22,27.2,32.6,23.8,35.5,19.72,10.6
"84",2019-07-23,26.1,29.6,23.8,0,20.55,11.3
"85",2019-07-24,27,31.3,24.4,0,20.1,12.6
"86",2019-07-25,27.5,32,23.1,0,23.75,11.9
"87",2019-07-26,29.7,36,25.1,0,26.1,12.9
"88",2019-07-27,27.8,31.7,23.7,0,23.22,11.1
"89",2019-07-28,28.9,34,26,0,16.3,10.6
"90",2019-07-29,28.8,34.8,25,0,22.73,12.4
"91",2019-07-30,29.1,33.4,26,0,23.76,12.9
"92",2019-07-31,29.3,33.2,26.4,0,25.47,12.6
"93",2019-08-01,28.9,33.6,25.5,0,25,11
"94",2019-08-02,28.7,32.6,25.3,0,25.42,12.5
"95",2019-08-03,28.4,32.2,25.5,0,22.7,10.6
"96",2019-08-04,28.2,32.3,24.2,0,24.2,11.4
"97",2019-08-05,29.1,33.2,25.4,0,26.32,12.3
"98",2019-08-06,29.8,36,23.5,0,13.88,10.5
"99",2019-08-07,31.5,36.8,27.6,0,27.32,11.9
"100",2019-08-08,30.1,35,26.3,0,27.2,12.8
"101",2019-08-09,29,33.8,25.4,0,23.36,11
"102",2019-08-10,28.4,32.5,24.6,0,25.26,12.5
"103",2019-08-11,28.4,32,23.6,0,24.76,12.1
"104",2019-08-12,29.9,35.5,26,0,23.97,12.3
"105",2019-08-13,29.2,36.5,24.1,0,21.57,12.7
"106",2019-08-14,29.7,33.9,25,0,15.23,7.4
"107",2019-08-15,29.9,32.1,26,5.5,4.78,1.9
"108",2019-08-16,27.6,32.2,24.2,21.5,10.06,7.1
"109",2019-08-17,27.1,31.5,23.2,0,24.62,12.3
"110",2019-08-18,26.7,31.5,23.4,0,18.81,10.8
"111",2019-08-19,25.8,28,23.8,0,7.06,7.1
"112",2019-08-20,25.4,27.9,23.6,31.5,6.38,4.9
"113",2019-08-21,26.5,32.2,24.2,1,9.85,8.3
"114",2019-08-22,27.5,31.1,24.6,5,7.64,7.8
"115",2019-08-23,24.8,28.6,22.2,23,8.6,7
"116",2019-08-24,24.7,29.9,20.4,8,20.7,10.2
"117",2019-08-25,24.6,29.1,20.8,0,22.79,11.8
"118",2019-08-26,24.2,28.1,20.2,0,25.2,12.2
"119",2019-08-27,24.3,28.1,21.2,5,5.87,5.7
"120",2019-08-28,24.5,27.4,23.1,28,4.34,2.4
"121",2019-08-29,23.8,25.8,20.5,14.5,5.09,2.7
"122",2019-08-30,24.6,29,21.7,19.5,16.61,6.8
"123",2019-08-31,25,29.6,20.8,0,22.15,10.8
"124",2019-09-01,23.8,26.6,21.7,0,6.72,5.5
"125",2019-09-02,23.7,27.6,21.5,23,10.34,7.1
"126",2019-09-03,26.1,31,22.8,6,21.84,11.3
"127",2019-09-04,26,30.2,22.8,0,15.56,8.1
"128",2019-09-05,29.4,34.8,25.8,0,18.39,11.6
"129",2019-09-06,29.9,35.2,23.3,0,22.25,11.4
"130",2019-09-07,29.8,36.1,22.1,0,23.11,12.1
"131",2019-09-08,29.5,36.3,25.5,0,23.42,11.6
"132",2019-09-09,27.8,32,25.3,8,19.13,10.3
"133",2019-09-10,27.4,31.7,24.1,0,17.68,10.4
"134",2019-09-11,26.6,31.1,24.3,3.5,10.84,9
"135",2019-09-12,24.1,27.4,20,0,13.45,9.7
"136",2019-09-13,23.4,28.4,19.7,0,16.11,9.4
"137",2019-09-14,25.7,29.9,22.6,0,19.03,11.9
"138",2019-09-15,25.6,29.7,22,0,20.41,10.6
"139",2019-09-16,25,28.2,22.8,0,13.08,9.6
"140",2019-09-17,24.4,28.1,19.8,0,18.48,8.7
"141",2019-09-18,23.1,28.5,20,0,15.71,7.2
"142",2019-09-19,21.1,24.8,14.5,0,20.64,11
"143",2019-09-20,19.3,25.9,13.7,0.5,15.49,9.1
"144",2019-09-21,17.4,18.7,15.5,22,2.21,0.9
"145",2019-09-22,20.8,26.2,18,18,3.16,1.7
"146",2019-09-23,23.5,29.8,18.3,4.5,10.65,8.4
"147",2019-09-24,19.3,22.2,17,5,5.26,6.8
"148",2019-09-25,19.4,24.8,15.5,0,19.13,9.7
"149",2019-09-26,20.5,25.6,14.4,0,20.68,11.3
"150",2019-09-27,22.9,30.4,18.8,3.5,7.68,6.5
"151",2019-09-28,25.2,29,22.5,0,8.02,8.5
"152",2019-09-29,24,28.8,21.2,0,12.07,9.4
"153",2019-09-30,23.2,26.5,20,0,13.33,8.9
